CategoryName,Source,NumberOfPapers
"""databases, factual""","""OpenAIRE""",39
"""linear system""","""OpenAIRE""",39
"""meaning (existential)""","""OpenAlex""",39
"""natural (archaeology)""","""OpenAlex""",39
"""wavelet transform""","""OpenAIRE""",39
"""cerebral cortex""","""OpenAIRE""",39
"""discriminative model""","""OpenAlex""",39
"""bayes' theorem""","""OpenAIRE""",39
"""wireless""","""OpenAlex""",39
"""test (biology)""","""OpenAlex""",39
"""ranking (information retrieval)""","""OpenAlex""",39
"""visual perception""","""OpenAlex""",39
"""logistics & transportation""","""OpenAIRE""",39
"""dimensionality reduction""","""OpenAIRE""",38
"""statistical inference""","""OpenAlex""",38
"""estimation theory""","""OpenAIRE""",38
"""health informatics""","""OpenAIRE""",38
"""physical medicine and rehabilitation""","""OpenAlex""",38
"""numerical analysis""","""OpenAIRE""",38
"""variance (accounting)""","""OpenAlex""",38
"""sentence""","""OpenAIRE""",38
"""estimator""","""OpenAIRE""",38
"""epidemiology""","""OpenAIRE""",38
"""risk analysis (engineering)""","""OpenAIRE""",38
"""personality""","""OpenAlex""",38
"""visual cortex""","""OpenAIRE""",37
"""classifier (uml)""","""OpenAIRE""",37
"""training set""","""OpenAIRE""",37
"""multivariate statistics""","""OpenAlex""",37
"""zoology""","""OpenAlex""",37
"""feature selection""","""OpenAIRE""",37
"""control system""","""OpenAlex""",37
"""algebra over a field""","""OpenAlex""",37
"""component (thermodynamics)""","""OpenAlex""",37
"""eye movement""","""OpenAlex""",37
"""markov chain""","""OpenAlex""",37
"""computation theory & mathematics""","""OpenAIRE""",37
"""salient""","""OpenAlex""",37
"""stimulus (physiology)""","""OpenAIRE""",37
"""disease""","""OpenAlex""",37
"""noise reduction""","""OpenAlex""",37
"""random forest""","""OpenAlex""",37
"""marine biology & hydrobiology""","""OpenAIRE""",37
"""complex network""","""OpenAlex""",36
"""industrial organization""","""OpenAIRE""",36
"""internet""","""OpenAIRE""",36
"""generalization""","""OpenAIRE""",36
"""component (uml)""","""OpenAIRE""",36
"""pooling""","""OpenAlex""",36
"""variable (mathematics)""","""OpenAlex""",36
"""world wide web""","""OpenAIRE""",36
"""annotation""","""OpenAlex""",36
"""event (particle physics)""","""OpenAlex""",36
"""psychiatry and mental health""","""OpenAIRE""",36
"""sample (statistics)""","""OpenAIRE""",36
"""electronic, optical and magnetic materials""","""OpenAIRE""",36
"""condensed matter physics""","""OpenAlex""",36
"""a priori and a posteriori""","""OpenAlex""",36
"""cell biology""","""OpenAIRE""",36
"""phylogeny""","""OpenAIRE""",36
"""markov chain""","""OpenAIRE""",36
"""eye movement""","""OpenAIRE""",36
"""resource (disambiguation)""","""OpenAlex""",36
"""iterative method""","""OpenAIRE""",36
"""visual cortex""","""OpenAlex""",36
"""public health, environmental and occupational health""","""OpenAIRE""",36
"""regression analysis""","""OpenAlex""",36
"""argument (complex analysis)""","""OpenAlex""",35
"""pairwise comparison""","""OpenAlex""",35
"""gaussian""","""OpenAlex""",35
"""theoretical physics""","""OpenAlex""",35
"""internet privacy""","""OpenAlex""",35
"""unsupervised learning""","""OpenAIRE""",35
"""statistical hypothesis testing""","""OpenAIRE""",35
"""voxel""","""OpenAlex""",35
"""facial recognition system""","""OpenAlex""",35
"""mathematics education""","""OpenAIRE""",35
"""stability (probability)""","""OpenAIRE""",35
"""electric power system""","""OpenAlex""",35
"""decision tree""","""OpenAIRE""",35
"""facial recognition system""","""OpenAIRE""",35
"""embedding""","""OpenAlex""",35
"""contextual image classification""","""OpenAlex""",35
"""identity (music)""","""OpenAlex""",35
"""data set""","""OpenAIRE""",35
"""computer graphics""","""OpenAIRE""",35
"""management information systems""","""OpenAIRE""",35
"""politics""","""OpenAIRE""",35
"""phylogenetic tree""","""OpenAlex""",35
"""sensory systems""","""OpenAIRE""",35
"""semantics (computer science)""","""OpenAlex""",35
"""hidden markov model""","""OpenAIRE""",35
"""energy engineering and power technology""","""OpenAIRE""",35
"""interface (matter)""","""OpenAlex""",34
"""environmental science""","""OpenAIRE""",34
"""genomics""","""OpenAIRE""",34
"""affect (psychology)""","""OpenAIRE""",34
"""audiology""","""OpenAlex""",34
"""philosophy""","""OpenAIRE""",34
"""social sciences methods""","""OpenAIRE""",34
"""contrast (statistics)""","""OpenAIRE""",34
"""scalability""","""OpenAlex""",34
"""invariant (physics)""","""OpenAlex""",34
"""recurrent neural network""","""OpenAIRE""",34
"""kalman filter""","""OpenAIRE""",34
"""production (economics)""","""OpenAlex""",34
"""hierarchy""","""OpenAlex""",34
"""constraint (computer-aided design)""","""OpenAlex""",34
"""geology""","""OpenAIRE""",34
"""data interpretation, statistical""","""OpenAIRE""",34
"""basis (linear algebra)""","""OpenAlex""",34
"""microeconomics""","""OpenAIRE""",33
"""personality""","""OpenAIRE""",33
"""covariance""","""OpenAlex""",33
"""outlier""","""OpenAlex""",33
"""genetic algorithm""","""OpenAIRE""",33
"""macroeconomics""","""OpenAIRE""",33
"""sensitivity (control systems)""","""OpenAlex""",33
"""mechanism (biology)""","""OpenAlex""",33
"""evolution, molecular""","""OpenAIRE""",33
"""general social sciences""","""OpenAIRE""",33
"""psychometrics""","""OpenAlex""",33
"""financial economics""","""OpenAlex""",33
"""computer science - neural and evolutionary computing""","""OpenAIRE""",33
"""neural and evolutionary computing (cs.ne)""","""OpenAIRE""",33
"""heuristics""","""OpenAlex""",33
"""other social sciences""","""OpenAIRE""",33
"""computer security""","""OpenAIRE""",33
"""sequence alignment""","""OpenAIRE""",33
"""normalization (sociology)""","""OpenAlex""",33
"""fuzzy set operations""","""OpenAIRE""",33
"""oceanographical terminology/biological oceanography""","""OpenAIRE""",33
"""service (business)""","""OpenAlex""",33
"""functional magnetic resonance imaging""","""OpenAIRE""",33
"""articles""","""OpenAIRE""",33
"""extension (predicate logic)""","""OpenAlex""",33
"""accounting""","""OpenAIRE""",33
"""reduction (mathematics)""","""OpenAlex""",33
"""automotive engineering""","""OpenAIRE""",33
"""dentistry""","""OpenAlex""",32
"""agriculture, forestry, and fisheries""","""OpenAIRE""",32
"""linear system""","""OpenAlex""",32
"""domain (software engineering)""","""OpenAIRE""",32
"""demography""","""OpenAIRE""",32
"""bubble""","""OpenAlex""",32
"""tree (set theory)""","""OpenAlex""",32
"""work (electrical)""","""OpenAIRE""",32
"""regression""","""OpenAIRE""",32
"""social networks/social information processing""","""OpenAIRE""",32
"""general immunology and microbiology""","""OpenAIRE""",32
"""extant hettangian first appearances/lizards""","""OpenAIRE""",32
"""control (linguistics)""","""OpenAIRE""",32
"""fos: mathematics""","""OpenAIRE""",32
"""process management""","""OpenAIRE""",32
"""discriminative model""","""OpenAIRE""",32
"""dimensionality reduction""","""OpenAlex""",32
"""young adult""","""OpenAIRE""",32
"""range (mathematics)""","""OpenAIRE""",32
"""hydrology/water and the environment""","""OpenAIRE""",32
"""convergence (routing)""","""OpenAIRE""",32
"""classical mechanics""","""OpenAIRE""",32
"""psychometrics""","""OpenAIRE""",32
"""reliability (statistics)""","""OpenAIRE""",32
"""social science""","""OpenAIRE""",32
"""applied psychology""","""OpenAlex""",32
"""physical chemistry""","""OpenAlex""",32
"""natural language""","""OpenAlex""",31
"""architecture""","""OpenAlex""",31
"""electric power distribution/electrical grid/distributed generation""","""OpenAIRE""",31
"""optimization problem""","""OpenAlex""",31
"""sequence""","""OpenAIRE""",31
"""random forest""","""OpenAIRE""",31
"""maximum bubble pressure method""","""OpenAlex""",31
"""behavioral neuroscience""","""OpenAIRE""",31
"""smoothing""","""OpenAlex""",31
"""image resolution""","""OpenAIRE""",31
"""series (mathematics)""","""OpenAIRE""",31
"""aerospace engineering""","""OpenAIRE""",31
"""topology""","""OpenAIRE""",31
"""movement (music)""","""OpenAlex""",31
"""sensory system""","""OpenAlex""",31
"""competition (biology)""","""OpenAlex""",31
"""information storage and retrieval""","""OpenAIRE""",31
"""sustainability""","""OpenAlex""",31
"""psychiatry""","""OpenAIRE""",31
"""gene expression""","""OpenAlex""",31
"""feature vector""","""OpenAIRE""",31
"""fuzzy number""","""OpenAIRE""",31
"""recurrent neural network""","""OpenAlex""",31
"""advertising""","""OpenAlex""",31
"""diversity (politics)""","""OpenAlex""",30
"""allele""","""OpenAlex""",30
"""social sciences (miscellaneous)""","""OpenAIRE""",30
"""decision making""","""OpenAIRE""",30
"""object (philosophy)""","""OpenAIRE""",30
"""information systems/recommender systems""","""OpenAIRE""",30
"""genetics (clinical)""","""OpenAIRE""",30
"""digital signal processing""","""OpenAlex""",30
"""simple (abstract algebra)""","""OpenAIRE""",30
"""filter (signal processing)""","""OpenAIRE""",30
"""natural language""","""OpenAIRE""",30
"""representation (systemics)""","""OpenAIRE""",30
"""hyperspectral imaging""","""OpenAlex""",30
"""emerging technologies""","""OpenAlex""",30
"""deep neural networks""","""OpenAlex""",30
"""medical physics""","""OpenAlex""",30
"""forests/habitats""","""OpenAIRE""",30
"""history""","""OpenAIRE""",30
"""probability distribution""","""OpenAIRE""",30
"""preprocessor""","""OpenAlex""",30
"""psychological intervention""","""OpenAlex""",30
"""lyapunov function""","""OpenAlex""",30
"""information processing""","""OpenAIRE""",30
"""subspace topology""","""OpenAlex""",29
"""bioengineering""","""OpenAIRE""",29
"""measure (mathematics)""","""OpenAIRE""",29
"""discrete wavelet transform""","""OpenAlex""",29
"""reliability engineering""","""OpenAlex""",29
"""anthropology""","""OpenAIRE""",29
"""variation (astronomy)""","""OpenAlex""",29
"""trajectory""","""OpenAlex""",29
"""analysis of variance""","""OpenAIRE""",29
"""image resolution""","""OpenAlex""",29
"""time series""","""OpenAlex""",29
"""information system""","""OpenAIRE""",29
"""public administration""","""OpenAIRE""",29
"""agronomy & agriculture""","""OpenAIRE""",29
"""class (set theory)""","""OpenAIRE""",29
"""encoding (memory)""","""OpenAlex""",29
"""space perception""","""OpenAIRE""",29
"""space and planetary science""","""OpenAIRE""",29
"""gradient descent""","""OpenAlex""",29
"""ophthalmology""","""OpenAIRE""",29
"""cues""","""OpenAIRE""",29
"""imaging, three-dimensional""","""OpenAIRE""",29
"""situated""","""OpenAlex""",29
"""statistical hypothesis testing""","""OpenAlex""",29
"""history and philosophy of science""","""OpenAIRE""",29
"""gender studies""","""OpenAlex""",29
"""covariance""","""OpenAIRE""",29
"""detector""","""OpenAIRE""",28
"""markov chain monte carlo""","""OpenAlex""",28
"""graph (abstract data type)""","""OpenAIRE""",28
"""chemical physics""","""OpenAIRE""",28
"""trait""","""OpenAlex""",28
"""dynamics (music)""","""OpenAlex""",28
"""transformation (genetics)""","""OpenAlex""",28
"""mobile robot""","""OpenAIRE""",28
"""interpolation""","""OpenAIRE""",28
"""motion (physics)""","""OpenAIRE""",28
"""literature""","""OpenAlex""",28
"""health care""","""OpenAlex""",28
"""surgery""","""OpenAlex""",28
"""term (time)""","""OpenAlex""",28
"""control and optimization""","""OpenAIRE""",28
"""point (geometry)""","""OpenAIRE""",28
"""vocabulary""","""OpenAIRE""",28
"""hidden markov model""","""OpenAlex""",28
"""water science and technology""","""OpenAIRE""",28
"""social relation""","""OpenAIRE""",28
"""nonparametric statistics""","""OpenAlex""",28
"""review""","""OpenAIRE""",28
"""basis (linear algebra)""","""OpenAIRE""",28
"""rank (graph theory)""","""OpenAlex""",28
"""selection (linguistics)""","""OpenAIRE""",28
"""regularization (linguistics)""","""OpenAlex""",28
"""life skills/behavioural sciences""","""OpenAIRE""",28
"""machine learning/social info processing""","""OpenAIRE""",28
"""ecosystem""","""OpenAIRE""",28
"""correlation clustering""","""OpenAIRE""",28
"""molecule""","""OpenAlex""",28
"""real-time computing""","""OpenAlex""",28
"""programming language""","""OpenAIRE""",28
"""weighting""","""OpenAlex""",28
"""form perception""","""OpenAIRE""",28
"""active learning (machine learning)""","""OpenAlex""",28
"""multimedia""","""OpenAlex""",28
"""embodied cognition""","""OpenAlex""",28
"""amplifier""","""OpenAlex""",28
"""metric (mathematics)""","""OpenAIRE""",27
"""chemistry.chemical_classification""","""OpenAIRE""",27
"""media and communications""","""OpenAIRE""",27
"""communication & media studies""","""OpenAIRE""",27
"""statistical model""","""OpenAlex""",27
"""civil engineering""","""OpenAlex""",27
"""neural pathways""","""OpenAIRE""",27
"""algebra""","""OpenAIRE""",27
"""adaptive control""","""OpenAlex""",27
"""medline""","""OpenAlex""",27
"""feature learning""","""OpenAIRE""",27
"""kernel (algebra)""","""OpenAlex""",27
"""optimal control""","""OpenAlex""",27
"""peptide sequence""","""OpenAlex""",27
"""habitat""","""OpenAlex""",27
"""video tracking""","""OpenAlex""",27
"""regular polygon""","""OpenAlex""",27
"""kinematics""","""OpenAlex""",27
"""robust control""","""OpenAIRE""",27
"""grammar""","""OpenAlex""",27
"""medical imaging""","""OpenAIRE""",27
"""tracking (particle physics)""","""OpenAIRE""",27
"""vocabulary""","""OpenAlex""",27
"""climate change""","""OpenAlex""",27
"""fuzzy classification""","""OpenAIRE""",27
"""similarity (network science)""","""OpenAIRE""",27
"""iterative reconstruction""","""OpenAIRE""",27
"""preference""","""OpenAlex""",27
"""parsing""","""OpenAlex""",27
"""electric power system""","""OpenAIRE""",27
"""sensitivity (control systems)""","""OpenAIRE""",27
"""linear discriminant analysis""","""OpenAIRE""",27
"""reinforcement learning""","""OpenAlex""",26
"""energy (signal processing)""","""OpenAlex""",26
"""transportation""","""OpenAIRE""",26
"""heuristics""","""OpenAIRE""",26
"""property (philosophy)""","""OpenAlex""",26
"""overfitting""","""OpenAlex""",26
"""political science and international relations""","""OpenAIRE""",26
"""signal processing, computer-assisted""","""OpenAIRE""",26
"""organizational learning""","""OpenAIRE""",26
"""lyapunov function""","""OpenAIRE""",26
"""dynamical systems/complex systems theory""","""OpenAIRE""",26
"""artifacts""","""OpenAIRE""",26
"""neuroimaging""","""OpenAlex""",26
"""mixture model""","""OpenAIRE""",26
"""causal inference""","""OpenAlex""",26
"""qualitative research""","""OpenAlex""",26
"""decoding methods""","""OpenAlex""",26
"""neuroscience(all)""","""OpenAIRE""",26
"""bounded function""","""OpenAlex""",26
"""calculus (dental)""","""OpenAlex""",26
"""brand management/branding terminology""","""OpenAIRE""",26
"""magnetic field""","""OpenAlex""",26
"""complex system""","""OpenAIRE""",26
"""noise (signal processing)""","""OpenAIRE""",26
"""microbiology""","""OpenAIRE""",26
"""working memory""","""OpenAlex""",26
"""base sequence""","""OpenAIRE""",26
"""scheme (mathematics)""","""OpenAlex""",26
"""particle swarm optimization""","""OpenAlex""",26
"""models, molecular""","""OpenAIRE""",26
"""amino acid sequence""","""OpenAIRE""",26
"""renewable energy, sustainability and the environment""","""OpenAIRE""",26
"""mean squared error""","""OpenAlex""",26
"""medicine.medical_treatment""","""OpenAIRE""",26
"""optimal control""","""OpenAIRE""",26
"""fuzzy clustering""","""OpenAIRE""",26
"""physical and theoretical chemistry""","""OpenAIRE""",26
"""development""","""OpenAIRE""",26
"""fos: biological sciences""","""OpenAIRE""",25
"""information theory""","""OpenAIRE""",25
"""medical education""","""OpenAlex""",25
"""retina""","""OpenAIRE""",25
"""test (assessment)""","""OpenAIRE""",25
"""comprehension""","""OpenAlex""",25
